product,product_link,image_link,brand,likes,gender,main_category,sub_category
피그먼트 다잉 맨투맨 블랙(UP121CFS13),https://www.musinsa.com/products/3781190,https://image.msscdn.net/thumbnails/images/goods_img/20240108/3781190/3781190_17310336219791_big.jpg?w=780,엄브로,124,공용,상의,맨투맨/스웨트
클로버  자수 스웨트셔츠_네이비,https://www.musinsa.com/products/3546288,https://image.msscdn.net/thumbnails/images/goods_img/20230908/3546288/3546288_16941601811141_big.jpg?w=780,이코르,1.9만,남성,상의,맨투맨/스웨트
스포티 컬러블록 니트 하프집업 맨투맨 네이비(UP121SFS21),https://www.musinsa.com/products/3806094,https://image.msscdn.net/thumbnails/images/goods_img/20240118/3806094/3806094_17310342684488_big.jpg?w=780,엄브로,428,공용,상의,맨투맨/스웨트
엔조이 캣 오버핏 맨투맨 GMT-157,https://www.musinsa.com/products/4342391,https://image.msscdn.net/thumbnails/images/goods_img/20240819/4342391/4342391_17326024557918_big.jpg?w=780,고스트리퍼블릭,6.4천,공용,상의,맨투맨/스웨트
LT431_러닝클럽 럭비 맨투맨_네이비,https://www.musinsa.com/products/2321863,https://image.msscdn.net/thumbnails/images/goods_img/20220124/2321863/2321863_17412290878675_big.jpg?w=780,어반디타입,6.1만,공용,상의,맨투맨/스웨트
CGP 스몰 스퀘어 로고 스트라이프 럭비 맨투맨_네이비,https://www.musinsa.com/products/4330177,https://image.msscdn.net/thumbnails/images/goods_img/20240814/4330177/4330177_17376994583197_big.jpg?w=780,코드그라피,5.7천,공용,상의,맨투맨/스웨트
스포티 컬러블록 립스탑 후드형 아노락 딥네이비(UP121SWT21),https://www.musinsa.com/products/3806099,https://image.msscdn.net/thumbnails/images/goods_img/20240118/3806099/3806099_17310342833535_big.jpg?w=780,엄브로,753,공용,상의,맨투맨/스웨트
트레이스 크리즈 데님 스웨트셔츠 블랙,https://www.musinsa.com/products/3825606,https://image.msscdn.net/thumbnails/images/goods_img/20240126/3825606/3825606_17073572553056_big.jpg?w=780,트래블,865,공용,상의,맨투맨/스웨트
VLAD 배색 스몰 로고 나일론 맨투맨_블랙,https://www.musinsa.com/products/4844519,https://image.msscdn.net/thumbnails/images/goods_img/20250227/4844519/4844519_17412424132105_big.jpg?w=780,디미트리블랙,868,공용,상의,맨투맨/스웨트
심볼 로고 트랙 폴로 맨투맨 GMT-156,https://www.musinsa.com/products/4342389,https://image.msscdn.net/thumbnails/images/goods_img/20240819/4342389/4342389_17258428509914_big.jpg?w=780,고스트리퍼블릭,4.3만,공용,상의,맨투맨/스웨트
SMALL CENTER 맨투맨 (STMSTD-0015),https://www.musinsa.com/products/2990274,https://image.msscdn.net/thumbnails/images/goods_img/20221220/2990274/2990274_16947549126831_big.jpg?w=780,1989스탠다드,3.7만,공용,상의,맨투맨/스웨트
테니스 하프 집업-오트밀,https://www.musinsa.com/products/2851540,https://image.msscdn.net/thumbnails/images/goods_img/20221011/2851540/2851540_1_big.jpg?w=780,슈퍼서브,9.6천,공용,상의,맨투맨/스웨트
오버핏 블룸 스웨트 셔츠-네이비,https://www.musinsa.com/products/2697722,https://image.msscdn.net/thumbnails/images/goods_img/20220804/2697722/2697722_1_big.jpg?w=780,필루미네이트,2.1만,공용,상의,맨투맨/스웨트
ASI 에센셜 컷오프 피그먼트 맨투맨 티셔츠_차콜,https://www.musinsa.com/products/4768149,https://image.msscdn.net/thumbnails/images/goods_img/20250207/4768149/4768149_17392436801030_big.jpg?w=780,디미트리블랙,1.3천,공용,상의,맨투맨/스웨트
